Encode	3.10
DBI	1.643
encoding	3.00
Proc::Killfam	1.0
Proc::ProcessTable	0.59
Proc::Killall	1.0
Proc::ProcessTable::Process	0.02
Encode::TW	2.03
Encode::JP	2.05
Encode::Symbol	2.02
Encode::EBCDIC	2.02
Encode::Config	2.05
Encode::Encoder	2.03
Encode::Byte	2.04
Encode::CJKConstants	2.02
Encode::KR	2.03
Encode::Encoding	2.08
Encode::Unicode	2.18
Encode::Guess	2.08
Encode::GSM0338	2.09
Encode::Alias	2.24
Encode::CN	2.03
Encode::JP::H2Z	2.02
Encode::JP::JIS7	2.08
Encode::CN::HZ	2.10
Encode::Unicode::UTF7	2.10
Encode::KR::2022_KR	2.04
Encode::MIME::Header	2.28
Encode::MIME::Name	1.03
Encode::MIME::Header::ISO_2022_JP	1.09
Test::LeakTrace	0.17
Test::LeakTrace::Script	undef
Bundle::DBI	12.008696
Win32::DBIODBC	undef
DBI::ProxyServer	0.3005
DBI::DBD	12.015129
DBI::ProfileData	2.010008
DBI::W32ODBC	undef
DBI::ProfileSubs	0.009396
DBI::ProfileDumper	2.015325
DBI::PurePerl	2.014286
DBI::Profile	2.015065
DBI::Changes	undef
DBI::Util::CacheMemory	0.010315
DBI::Util::_accessor	0.009479
DBI::Const::GetInfoReturn	2.008697
DBI::Const::GetInfoType	2.008697
DBI::Const::GetInfo::ODBC	2.011374
DBI::Const::GetInfo::ANSI	2.008697
DBI::Gofer::Execute	0.014283
DBI::Gofer::Request	0.012537
DBI::Gofer::Response	0.011566
DBI::Gofer::Serializer::Base	0.009950
DBI::Gofer::Serializer::DataDumper	0.009950
DBI::Gofer::Serializer::Storable	0.015586
DBI::Gofer::Transport::Base	0.012537
DBI::Gofer::Transport::pipeone	0.012537
DBI::Gofer::Transport::stream	0.012537
DBI::ProfileDumper::Apache	2.014121
DBI::SQL::Nano	1.015544
DBI::DBD::Metadata	2.014214
DBI::DBD::SqlEngine	0.06
DBD::NullP	12.014715
DBD::MariaDB	1.21
DBD::Gofer	0.015327
DBD::Mem	0.001
DBD::Sponge	12.010003
DBD::ExampleP	12.014311
DBD::DBM	0.08
DBD::File	0.44
DBD::Proxy	0.2004
DBD::Gofer::Policy::Base	0.010088
DBD::Gofer::Policy::rush	0.010088
DBD::Gofer::Policy::pedantic	0.010088
DBD::Gofer::Policy::classic	0.010088
